date,meeting_date,implied_rate,change_bp,probability_cut,probability_hold,probability_hike
2026-02-20,2027-02-02,4.205,35.5,0,0,100
2026-02-20,2027-03-02,4.2,35.0,0,0,100
2026-02-20,2027-04-06,4.19,34.0,0,0,100
2026-02-20,2027-05-04,4.18,33.0,0,0,100
2026-02-20,2027-06-01,4.175,32.5,0,0,100
2026-02-20,2027-07-06,4.17,32.0,0,0,100
2026-02-23,2026-02-03,3.82,-3.0,0,100,0
2026-02-23,2026-03-03,3.86,1.0,0,100,0
2026-02-23,2026-04-07,3.875,2.5,0,100,0
2026-02-23,2026-05-05,4.025,17.5,0,30,70
2026-02-23,2026-06-02,4.065,21.5,0,14,86
2026-02-23,2026-07-07,4.075,22.5,0,10,90
2026-02-23,2026-08-04,4.145,29.5,0,0,100
2026-02-23,2026-09-01,4.18,33.0,0,0,100
2026-02-23,2026-10-06,4.185,33.5,0,0,100
2026-02-23,2026-11-03,4.21,36.0,0,0,100
2026-02-23,2026-12-01,4.205,35.5,0,0,100
2026-02-23,2027-02-02,4.19,34.0,0,0,100
2026-02-23,2027-03-02,4.185,33.5,0,0,100
2026-02-23,2027-04-06,4.175,32.5,0,0,100
2026-02-23,2027-05-04,4.16,31.0,0,0,100
2026-02-23,2027-06-01,4.155,30.5,0,0,100
2026-02-23,2027-07-06,4.15,30.0,0,0,100
